
S0066,3PARA RAT,,3PARA RAT is a remote access tool (RAT) programmed in C++ that has been used by Putter Panda.
S0485,Mandrake,"oxide, briar, ricinus, darkmatter","Mandrake is a sophisticated Android espionage platform that has been active in the wild since at least 2016. Mandrake is very actively maintained, with sophisticated features and attacks that are executed with surgical precision.Mandrake has gone undetected for several years by providing legitimate, ad-free applications with social media and real reviews to back the apps. The malware is only activated when the operators issue a specific command."
S0317,Marcher,,Marcher is Android malware that is used for financial fraud.
S0652,MarkiRAT,,MarkiRAT is a remote access Trojan (RAT) compiled with Visual Studio that has been used by Ferocious Kitten since at least 2015.
S0167,Matryoshka,,"Matryoshka is a malware framework used by CopyKittens that consists of a dropper, loader, and RAT. It has multiple versions; v1 was seen in the wild from July 2016 until January 2017. v2 has fewer commands and other minor differences."
S0303,MazarBOT,,MazarBOT is Android malware that was distributed via SMS in Denmark in 2016.
S0449,Maze,,"Maze ransomware, previously known as ""ChaCha"", was discovered in May 2019. In addition to encrypting files on victim machines for impact, Maze operators conduct information stealing campaigns prior to encryption and post the information online to extort affected companies."
S0500,MCMD,,MCMD is a remote access tool that provides remote command shell capability used by Dragonfly 2.0.
S0459,MechaFlounder,,MechaFlounder is a python-based remote access tool (RAT) that has been used by APT39. The payload uses a combination of actor developed code and code snippets freely available online in development communities.
S0175,meek,,meek is an open-source Tor plugin that tunnels Tor traffic through HTTPS connections.
S0576,MegaCortex,,MegaCortex is ransomware that first appeared in May 2019.  MegaCortex has mainly targeted industrial organizations.
S0530,Melcoz,,"Melcoz is a banking trojan family built from the open source tool Remote Access PC. Melcoz was first observed in attacks in Brazil and since 2018 has spread to Chile, Mexico, Spain, and Portugal."
S0443,MESSAGETAP,,"MESSAGETAP is a data mining malware family deployed by APT41 into telecommunications networks to monitor and save SMS traffic from specific phone numbers, IMSI numbers, or that contain specific keywords."
S1059,metaMain,,metaMain is a backdoor used by Metador to maintain long-term access to compromised machines; it has also been used to decrypt Mafalda into memory.
S0455,Metamorfo,Casbaneiro,Metamorfo is a Latin-American banking trojan operated by a Brazilian cybercrime group that has been active since at least April 2018. The group focuses on targeting banks and cryptocurrency services in Brazil and Mexico.
S0688,Meteor,,"Meteor is a wiper that was used against Iranian government organizations, including Iranian Railways, the Ministry of Roads, and Urban Development systems, in July 2021. Meteor is likely a newer version of similar wipers called Stardust and Comet that were reportedly used by a group called ""Indra"" since at least 2019 against private companies in Syria."
S0339,Micropsia,,Micropsia is a remote access tool written in Delphi.
S1015,Milan,James,Milan is a backdoor implant based on DanBot that was written in Visual C++ and .NET. Milan has been used by HEXANE since at least June 2020.
S0002,Mimikatz,,"Mimikatz is a credential dumper capable of obtaining plaintext Windows account logins and passwords, along with many other features that make it useful for testing the security of networks."
S0179,MimiPenguin,,"MimiPenguin is a credential dumper, similar to Mimikatz, designed specifically for Linux platforms."
S0133,Miner-C,,Miner-C is malware that mines victims for the Monero cryptocurrency. It has targeted FTP servers and Network Attached Storage (NAS) devices to spread.
S0051,MiniDuke,,MiniDuke is malware that was used by APT29 from 2010 to 2015. The MiniDuke toolset consists of multiple downloader and backdoor components. The loader has been used with other MiniDuke components as well as in conjunction with CosmicDuke and PinchDuke.
S0280,MirageFox,,"MirageFox is a remote access tool used against Windows systems. It appears to be an upgraded version of a tool known as Mirage, which is a RAT believed to originate in 2012."
S0084,Mis-Type,,Mis-Type is a backdoor hybrid that was used in Operation Dust Storm by 2012.
S0083,Misdat,,Misdat is a backdoor that was used in Operation Dust Storm from 2010 to 2011.
S0080,Mivast,,Mivast is a backdoor that has been used by Deep Panda. It was reportedly used in the Anthem breach.
S0079,MobileOrder,,MobileOrder is a Trojan intended to compromise Android mobile devices. It has been used by Scarlet Mimic.
S0553,MoleNet,,MoleNet is a downloader tool with backdoor capabilities that has been observed in use since at least 2019.
S1026,Mongall,,"Mongall is a backdoor that has been used since at least 2013, including by Aoqin Dragon."
S0407,Monokle,,"Monokle is targeted, sophisticated mobile surveillanceware. It is developed for Android, but there are some code artifacts that suggests an iOS version may be in development."
S0149,MoonWind,,MoonWind is a remote access tool (RAT) that was used in 2016 to target organizations in Thailand.
S0284,More_eggs,"SKID, Terra Loader, SpicyOmelette","More_eggs is a JScript backdoor used by Cobalt Group and FIN6. Its name was given based on the variable ""More_eggs"" being present in its code. There are at least two different versions of the backdoor being used, version 2.0 and version 4.4."
S1047,Mori,,Mori is a backdoor that has been used by MuddyWater since at least January 2022.
S0256,Mosquito,,"Mosquito is a Win32 backdoor that has been used by Turla. Mosquito is made up of three parts: the installer, the launcher, and the backdoor. The main backdoor is called CommanderDLL and is launched by the loader program."
S0233,MURKYTOP,,MURKYTOP is a reconnaissance tool used by Leviathan.
S0699,Mythic,,"Mythic is an open source, cross-platform post-exploitation/command and control platform. Mythic is designed to ""plug-n-play"" with various agents and communication channels. Deployed Mythic C2 servers have been observed as part of potentially malicious infrastructure."
S0205,Naid,,Naid is a trojan used by Elderwood to open a backdoor on compromised hosts.
S0228,NanHaiShu,,NanHaiShu is a remote access tool and JScript backdoor used by Leviathan. NanHaiShu has been used to target government and private-sector organizations that have relations to the South China Sea dispute.
S0336,NanoCore,,NanoCore is a modular remote access tool developed in .NET that can be used to spy on victims and steal information. It has been used by threat actors since 2013.
S0637,NativeZone,,NativeZone is the name given collectively to disposable custom Cobalt Strike loaders used by APT29 since at least 2021.
S0247,NavRAT,,"NavRAT is a remote access tool designed to upload, download, and execute files. It has been observed in attacks targeting South Korea."
S0590,NBTscan,,NBTscan is an open source tool that has been used by state groups to conduct internal reconnaissance within a compromised network.
S0102,nbtstat,,nbtstat is a utility used to troubleshoot NetBIOS name resolution.
S0272,NDiskMonitor,,NDiskMonitor is a custom backdoor written in .NET that appears to be unique to Patchwork.
S0630,Nebulae,,Nebulae Is a backdoor that has been used by Naikon  since at least 2020.
S0691,Neoichor,,Neoichor is C2 malware used by Ke3chang since at least 2019; similar malware families used by the group include Leeson and Numbldea.
S0210,Nerex,,Nerex is a Trojan used by Elderwood to open a backdoor on compromised hosts.
S0039,Net,net.exe,"The Net utility is a component of the Windows operating system. It is used in command-line operations for control of users, groups, services, and network connections. Net has a great deal of functionality,  much of which is useful for an adversary, such as gathering system and network information for Discovery, moving laterally through SMB/Windows Admin Shares using net use commands, and interacting with services. The net1.exe utility is executed for certain functionality when net.exe is run and can be used directly in commands such as net1 user."
S0056,Net Crawler,NetC,Net Crawler is an intranet worm capable of extracting credentials using credential dumpers and spreading to systems on a network over SMB by brute forcing accounts with recovered passwords and using PsExec to execute a copy of Net Crawler.
S0034,NETEAGLE,,"NETEAGLE is a backdoor developed by APT30 with compile dates as early as 2008. It has two main variants known as ""Scout"" and ""Norton."""
S0108,netsh,netsh.exe,netsh is a scripting utility used to interact with networking components on local or remote systems.
S0104,netstat,,"netstat is an operating system utility that displays active TCP connections, listening ports, and network statistics."
S0033,NetTraveler,,"NetTraveler is malware that has been used in multiple cyber espionage campaigns for basic surveillance of victims. The earliest known samples have timestamps back to 2005, and the largest number of observed samples were created between 2010 and 2013."
S0457,Netwalker,,Netwalker is fileless ransomware written in PowerShell and executed directly in memory.
S0198,NETWIRE,,"NETWIRE is a publicly available, multiplatform remote administration tool (RAT) that has been used by criminal and APT groups since at least 2012."
S0508,Ngrok,,Ngrok is a legitimate reverse proxy tool that can create a secure tunnel to servers located behind firewalls or on local machines that do not have a public IP. Ngrok has been leveraged by threat actors in several campaigns including use for lateral movement and data exfiltration.
S0118,Nidiran,Backdoor.Nidiran,Nidiran is a custom backdoor developed and used by Suckfly. It has been delivered via strategic web compromise.
S0385,njRAT,"Njw0rm, LV, Bladabindi",njRAT is a remote access tool (RAT) that was first observed in 2012. It has been used by threat actors in the Middle East.
S0359,Nltest,,Nltest is a Windows command-line utility used to list domain controllers and enumerate domain trusts.
S0353,NOKKI,,NOKKI is a modular remote access tool. The earliest observed attack using NOKKI was in January 2018. NOKKI has significant code overlap with the KONNI malware family. There is some evidence potentially linking NOKKI to APT37.
S0299,NotCompatible,,NotCompatible is an Android malware family that was used between at least 2014 and 2016. It has multiple variants that have become more sophisticated over time.
S0368,NotPetya,"ExPetr, Diskcoder.C, GoldenEye, Petrwrap, Nyetya","NotPetya is malware that was used by Sandworm Team in a worldwide attack starting on June 27, 2017. While NotPetya appears as a form of ransomware, its main purpose was to destroy data and disk structures on compromised systems; the attackers never intended to make the encrypted data recoverable. As such, NotPetya may be more appropriately thought of as a form of wiper malware. NotPetya contains worm-like features to spread itself across a computer network using the SMBv1 exploits EternalBlue and EternalRomance."
S0286,OBAD,,OBAD is an Android malware family.
S0644,ObliqueRAT,,"ObliqueRAT is a remote access trojan, similar to Crimson, that has been in use by Transparent Tribe since at least 2020."
S0346,OceanSalt,,"OceanSalt is a Trojan that was used in a campaign targeting victims in South Korea, United States, and Canada. OceanSalt shares code similarity with SpyNote RAT, which has been linked to APT1."
S0340,Octopus,,Octopus is a Windows Trojan written in the Delphi programming language that has been used by Nomadic Octopus to target government organizations in Central Asia since at least 2014.
S0439,Okrum,,Okrum is a Windows backdoor that has been seen in use since December 2016 with strong links to Ke3chang.
S0138,OLDBAIT,Sasfis,OLDBAIT is a credential harvester used by APT28.
S0285,OldBoot,,OldBoot is an Android malware family.
S0365,Olympic Destroyer,,"Olympic Destroyer is malware that was used by Sandworm Team against the 2018 Winter Olympics, held in Pyeongchang, South Korea. The main purpose of the malware was to render infected computer systems inoperable. The malware leverages various native Windows utilities and API calls to carry out its destructive tasks. Olympic Destroyer has worm-like features to spread itself across a computer network in order to maximize its destructive impact."
S0052,OnionDuke,,OnionDuke is malware that was used by APT29 from 2013 to 2015.
S0264,OopsIE,,OopsIE is a Trojan used by OilRig to remotely execute commands as well as upload/download files to/from victims.
S0229,Orz,AIRBREAK,Orz is a custom JavaScript backdoor used by Leviathan. It was observed being used in 2014 as well as in August 2017 when it was dropped by Microsoft Publisher files.
S0165,OSInfo,,OSInfo is a custom tool used by APT3 to do internal discovery on a victim's computer and network.
S0402,OSX/Shlayer,"Zshlayer, Crossrider",OSX/Shlayer is a Trojan designed to install adware on macOS that was first discovered in 2018.
S0352,OSX_OCEANLOTUS.D,Backdoor.MacOS.OCEANLOTUS.F,OSX_OCEANLOTUS.D is a MacOS backdoor with several variants that has been used by APT32.
S0594,Out1,,Out1 is a remote access tool written in python and used by MuddyWater since at least 2021.
S1017,OutSteel,,OutSteel is a file uploader and document stealer developed with the scripting language AutoIT that has been used by Ember Bear since at least March 2021.
S0072,OwaAuth,,OwaAuth is a Web shell and credential stealer deployed to Microsoft Exchange servers that appears to be exclusively used by Threat Group-3390.
S0598,P.A.S. Webshell,Fobushell,P.A.S. Webshell is a publicly available multifunctional PHP webshell in use since at least 2016 that provides remote access and execution on target web servers.
S0016,P2P ZeuS,"Peer-to-Peer ZeuS, Gameover ZeuS","P2P ZeuS is a closed-source fork of the leaked version of the ZeuS botnet. It presents improvements over the leaked version, including a peer-to-peer architecture."
S0626,P8RAT,"HEAVYPOT, GreetCake",P8RAT is a fileless malware used by menuPass to download and execute payloads since at least 2020.
S0399,Pallas,,Pallas is mobile surveillanceware that was custom-developed by Dark Caracal.
S0664,Pandora,,Pandora is a multistage kernel rootkit with backdoor functionality that has been in use by Threat Group-3390 since at least 2020.
S0208,Pasam,,Pasam is a trojan used by Elderwood to open a backdoor on compromised hosts.
S0122,Pass-The-Hash Toolkit,,"Pass-The-Hash Toolkit is a toolkit that allows an adversary to ""pass"" a password hash (without knowing the original password) to log in to systems."
S0556,Pay2Key,,Pay2Key is a ransomware written in C++ that has been used by Fox Kitten since at least July 2020 including campaigns against Israeli companies. Pay2Key has been incorporated with a leak site to display stolen sensitive information to further pressure victims into payment.
S1050,PcShare,,"PcShare is an open source remote access tool that has been modified and used by Chinese threat actors, most notably during the FunnyDream campaign since late 2018."
S0316,Pegasus for Android,Chrysaor,Pegasus for Android is the Android version of malware that has reportedly been linked to the NSO Group.   The iOS version is tracked separately under Pegasus for iOS.
S0289,Pegasus for iOS,,Pegasus for iOS is the iOS version of malware that has reportedly been linked to the NSO Group. It has been advertised and sold to target high-value victims.   The Android version is tracked separately under Pegasus for Android.
S0683,Peirates,,Peirates is a post-exploitation Kubernetes exploitation framework with a focus on gathering service account tokens for lateral movement and privilege escalation. The tool is written in GoLang and publicly available on GitHub.
S0587,Penquin,"Penquin 2.0, Penquin_x64",Penquin is a remote access trojan (RAT) with multiple versions used by Turla to target Linux systems since at least 2014.
S0643,Peppy,,"Peppy is a Python-based remote access Trojan, active since at least 2012, with similarities to Crimson."
S0158,PHOREAL,,PHOREAL is a signature backdoor used by APT32.
S0517,Pillowmint,,Pillowmint is a point-of-sale malware used by FIN7 designed to capture credit card information.
S0048,PinchDuke,,PinchDuke is malware that was used by APT29 from 2008 to 2010.
S0097,Ping,,Ping is an operating system utility commonly used to troubleshoot and verify network connections.
S1031,PingPull,,"PingPull is a remote access Trojan (RAT) written in Visual C++ that has been used by GALLIUM since at least June 2022. PingPull has been used to target telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
S0501,PipeMon,,PipeMon is a multi-stage modular backdoor used by Winnti Group.
S0124,Pisloader,,"Pisloader is a malware family that is notable due to its use of DNS as a C2 protocol as well as its use of anti-analysis tactics. It has been used by APT18 and is similar to another malware family, HTTPBrowser, that has been used by the group."
S0291,PJApps,,PJApps is an Android malware family.
S0254,PLAINTEE,,PLAINTEE is a malware sample that has been used by Rancor in targeted attacks in Singapore and Cambodia.
S1006,PLC-Blaster,,"PLC-Blaster is a piece of proof-of-concept malware that runs on Siemens S7 PLCs. This worm locates other Siemens S7 PLCs on the network and attempts to infect them.  Once this worm has infected its target and attempted to infect other devices on the network, the worm can then run one of many modules."
S0435,PLEAD,,"PLEAD is a remote access tool (RAT) and downloader used by BlackTech in targeted attacks in East Asia including Taiwan, Japan, and Hong Kong. PLEAD has also been referred to as TSCookie, though more recent reporting indicates likely separation between the two. PLEAD was observed in use as early as March 2017."
S0013,PlugX,"Thoper, TVT, DestroyRAT, Sogu, Kaba, Korplug",PlugX is a remote access tool (RAT) with modular plugins that has been used by multiple threat groups.
S0067,pngdowner,,"pngdowner is malware used by Putter Panda. It is a simple tool with limited functionality and no persistence mechanism, suggesting it is used only as a simple ""download-and-execute"" utility."
S0428,PoetRAT,,"PoetRAT is a remote access trojan (RAT) that was first identified in April 2020. PoetRAT has been used in multiple campaigns against the private and public sectors in Azerbaijan, including ICS and SCADA systems in the energy sector. The STIBNITE activity group has been observed using the malware. PoetRAT derived its name from references in the code to poet William Shakespeare."
S0012,PoisonIvy,"Breut, Poison Ivy, Darkmoon",PoisonIvy is a popular remote access tool (RAT) that has been used by many groups.
S0518,PolyglotDuke,,PolyglotDuke is a downloader that has been used by APT29 since at least 2013. PolyglotDuke has been used to drop MiniDuke.
S0453,Pony,,"Pony is a credential stealing malware, though has also been used among adversaries for its downloader capabilities. The source code for Pony Loader 1.0 and 2.0 were leaked online, leading to their use by various threat actors."
S0216,POORAIM,,POORAIM is a backdoor used by APT37 in campaigns since at least 2014.
S0378,PoshC2,,"PoshC2 is an open source remote administration and post-exploitation framework that is publicly available on GitHub. The server-side components of the tool are primarily written in Python, while the implants are written in PowerShell. Although PoshC2 is primarily focused on Windows implantation, it does contain a basic Python dropper for Linux/macOS."
S0150,POSHSPY,,POSHSPY is a backdoor that has been used by APT29 since at least 2015. It appears to be used as a secondary backdoor used if the actors lost access to their primary backdoors.
S0177,Power Loader,,"Power Loader is modular code sold in the cybercrime market used as a downloader in malware families such as Carberp, Redyms and Gapz."
S0139,PowerDuke,,PowerDuke is a backdoor that was used by APT29 in 2016. It has primarily been delivered through Microsoft Word or Excel attachments containing malicious macros.
S1012,PowerLess,,PowerLess is a PowerShell-based modular backdoor that has been used by Magic Hound since at least 2022.
S0685,PowerPunch,,PowerPunch is a lightweight downloader that has been used by Gamaredon Group since at least 2021.
S0441,PowerShower,,PowerShower is a PowerShell backdoor used by Inception for initial reconnaissance and to download and execute second stage payloads.
S0145,POWERSOURCE,DNSMessenger,POWERSOURCE is a PowerShell backdoor that is a heavily obfuscated and modified version of the publicly available tool DNS_TXT_Pwnage. It was observed in February 2017 in spearphishing campaigns against personnel involved with United States Securities and Exchange Commission (SEC) filings at various organizations. The malware was delivered when macros were enabled by the victim and a VBS script was dropped.
S0194,PowerSploit,,"PowerSploit is an open source, offensive security framework comprised of PowerShell modules and scripts that perform a wide range of tasks related to penetration testing such as code execution, persistence, bypassing anti-virus, recon, and exfiltration."
S0393,PowerStallion,,"PowerStallion is a lightweight PowerShell backdoor used by Turla, possibly as a recovery access tool to install other backdoors."
S0223,POWERSTATS,Powermud,POWERSTATS is a PowerShell-based first stage backdoor used by MuddyWater.
S0371,POWERTON,,"POWERTON is a custom PowerShell backdoor first observed in 2018. It has typically been deployed as a late-stage backdoor by APT33. At least two variants of the backdoor have been identified, with the later version containing improved functionality."
S1046,PowGoop,,PowGoop is a loader that consists of a DLL loader and a PowerShell-based downloader; it has been used by MuddyWater as their main loader.
S0184,POWRUNER,,POWRUNER is a PowerShell script that sends and receives commands to and from the C2 server.
S1058,Prestige,,"Prestige ransomware has been used by Sandworm Team since at least March 2022, including against transportation and related logistics industries in Ukraine and Poland in October 2022."
S0113,Prikormka,,Prikormka is a malware family used in a campaign known as Operation Groundbait. It has predominantly been observed in Ukraine and was used as early as 2008.
S0654,ProLock,,"ProLock is a ransomware strain that has been used in Big Game Hunting (BGH) operations since at least 2020, often obtaining initial access with QakBot. ProLock is the successor to PwndLocker ransomware which was found to contain a bug allowing decryption without ransom payment in 2019."
S0279,Proton,,Proton is a macOS backdoor focusing on data theft and credential access  .
S0238,Proxysvc,,Proxysvc is a malicious DLL used by Lazarus Group in a campaign known as Operation GhostSecret. It has appeared to be operating undetected since 2017 and was mostly observed in higher education organizations. The goal of Proxysvc is to deliver additional payloads to the target and to maintain control for the attacker. It is in the form of a DLL that can also be executed as a standalone process.
S0613,PS1,,PS1 is a loader that was used to deploy 64-bit backdoors in the CostaRicto campaign.
S0029,PsExec,,PsExec is a free Microsoft tool that can be used to execute a program on another computer. It is used by IT administrators and attackers.
S0078,Psylo,,Psylo is a shellcode-based Trojan that has been used by Scarlet Mimic. It has similar characteristics as FakeM.
S0147,Pteranodon,Pterodo,Pteranodon is a custom backdoor used by Gamaredon Group.
S0196,PUNCHBUGGY,ShellTea,PUNCHBUGGY is a backdoor malware used by FIN8 that has been observed targeting POS networks in the hospitality industry.
S0197,PUNCHTRACK,PSVC,PUNCHTRACK is non-persistent point of sale (POS) system malware utilized by FIN8 to scrape payment card data.
S0192,Pupy,,"Pupy is an open source, cross-platform (Windows, Linux, OSX, Android) remote administration and post-exploitation tool.  It is written in Python and can be generated as a payload in several different ways (Windows exe, Python file, PowerShell oneliner/file, Linux elf, APK, Rubber Ducky, etc.).  Pupy is publicly available on GitHub."
S0006,pwdump,,pwdump is a credential dumper.
S1032,PyDCrypt,,"PyDCrypt is malware written in Python designed to deliver DCSrv. It has been used by Moses Staff since at least September 2021, with each sample tailored for its intended victim organization."
S0583,Pysa,Mespinoza,"Pysa is a ransomware that was first used in October 2018 and has been seen to target particularly high-value finance, government and healthcare organizations."
S0650,QakBot,"Pinkslipbot, QuackBot, QBot","QakBot is a modular banking trojan that has been used primarily by financially-motivated actors since at least 2007. QakBot is continuously maintained and developed and has evolved from an information stealer into a delivery agent for ransomware, most notably ProLock and Egregor."
S0269,QUADAGENT,,QUADAGENT is a PowerShell backdoor used by OilRig.
S0262,QuasarRAT,xRAT,"QuasarRAT is an open-source, remote access tool that has been publicly available on GitHub since at least 2014. QuasarRAT is developed in the C# language."
S0686,QuietSieve,,QuietSieve is an information stealer that has been used by Gamaredon Group since at least 2021.
S0481,Ragnar Locker,,Ragnar Locker is a ransomware that has been in use since at least December 2019.
S0565,Raindrop,,Raindrop is a loader used by APT29 that was discovered on some victim machines during investigations related to the SolarWinds Compromise. It was discovered in January 2021 and was likely used since at least May 2020.
S0629,RainyDay,,RainyDay is a backdoor tool that has been used by Naikon since at least 2020.
S0458,Ramsay,,"Ramsay is an information stealing malware framework designed to collect and exfiltrate sensitive documents, including from air-gapped systems. Researchers have identified overlaps between Ramsay and the Darkhotel-associated Retro malware."
S0055,RARSTONE,,RARSTONE is malware used by the Naikon group that has some characteristics similar to PlugX.
S0241,RATANKBA,,"RATANKBA is a remote controller tool used by Lazarus Group. RATANKBA has been used in attacks targeting financial institutions in Poland, Mexico, Uruguay, the United Kingdom, and Chile. It was also seen used against organizations related to telecommunications, management consulting, information technology, insurance, aviation, and education. RATANKBA has a graphical user interface to allow the attacker to issue jobs to perform on the infected machines."
S0364,RawDisk,,"RawDisk is a legitimate commercial driver from the EldoS Corporation that is used for interacting with files, disks, and partitions. The driver allows for direct modification of data on a local computer's hard drive. In some cases, the tool can enact these raw disk modifications from user-mode processes, circumventing Windows operating system security features."
S0169,RawPOS,"FIENDCRY, DUEBREW, DRIFTWOOD","RawPOS is a point-of-sale (POS) malware family that searches for cardholder data on victims. It has been in use since at least 2008.    FireEye divides RawPOS into three components: FIENDCRY, DUEBREW, and DRIFTWOOD."
S1040,Rclone,,"Rclone is a command line program for syncing files with cloud storage services such as Dropbox, Google Drive, Amazon S3, and MEGA. Rclone has been used in a number of ransomware campaigns, including those associated with the Conti and DarkSide Ransomware-as-a-Service operations."
S0295,RCSAndroid,,RCSAndroid is Android malware.
S0662,RCSession,,RCSession is a backdoor written in C++ that has been in use since at least 2018 by Mustang Panda and by Threat Group-3390 (Type II Backdoor).
S0495,RDAT,,RDAT is a backdoor used by the suspected Iranian threat group OilRig. RDAT was originally identified in 2017 and targeted companies in the telecommunications sector.
S0416,RDFSNIFFER,,RDFSNIFFER is a module loaded by BOOSTWRITE which allows an attacker to monitor and tamper with legitimate connections made via an application designed to provide visibility and system management capabilities to remote IT techs.
S0172,Reaver,,"Reaver is a malware family that has been in the wild since at least late 2016. Reporting indicates victims have primarily been associated with the ""Five Poisons,"" which are movements the Chinese government considers dangerous. The type of malware is rare due to its final payload being in the form of Control Panel items."
S0539,Red Alert 2.0,,Red Alert 2.0 is a banking trojan that masquerades as a VPN client.
S0326,RedDrop,,RedDrop is an Android malware family that exfiltrates sensitive data from devices.
S0153,RedLeaves,BUGJUICE,RedLeaves is a malware family used by menuPass. The code overlaps with PlugX and may be based upon the open source tool Trochilus.
S0075,Reg,reg.exe,"Reg is a Windows utility used to interact with the Windows Registry. It can be used at the command-line interface to query, add, modify, and remove information. Utilities such as Reg are known to be used by persistent threats."
S0511,RegDuke,,RegDuke is a first stage implant written in .NET and used by APT29 since at least 2017. RegDuke has been used to control a compromised machine when control of other implants on the machine was lost.
S0019,Regin,,"Regin is a malware platform that has targeted victims in a range of industries, including telecom, government, and financial institutions. Some Regin timestamps date back to 2003."
S0332,Remcos,,Remcos is a closed-source tool that is marketed as a remote control and surveillance software by a company called Breaking Security. Remcos has been observed being used in malware campaigns.
S0375,Remexi,,Remexi is a Windows-based Trojan that was developed in the C programming language.
S0166,RemoteCMD,,RemoteCMD is a custom tool used by APT3 to execute commands on a remote system similar to SysInternal's PSEXEC functionality.
S0592,RemoteUtilities,,RemoteUtilities is a legitimate remote administration tool that has been used by MuddyWater since at least 2021 for execution on target machines.
S0125,Remsec,"Backdoor.Remsec, ProjectSauron",Remsec is a modular backdoor that has been used by Strider and appears to have been designed primarily for espionage purposes. Many of its modules are written in Lua.
S0174,Responder,,"Responder is an open source tool used for LLMNR, NBT-NS and MDNS poisoning, with built-in HTTP/SMB/MSSQL/FTP/LDAP rogue authentication server supporting NTLMv1/NTLMv2/LMv2, Extended Security NTLMSSP and Basic HTTP authentication."
S0379,Revenge RAT,,Revenge RAT is a freely available remote access tool written in .NET (C#).
S0496,REvil,"Sodin, Sodinokibi","REvil is a ransomware family that has been linked to the GOLD SOUTHFIELD group and operated as ransomware-as-a-service (RaaS) since at least April 2019. REvil, which as been used against organizations in the manufacturing, transportation, and electric sectors, is highly configurable and shares code similarities with the GandCrab RaaS."
S0258,RGDoor,,RGDoor is a malicious Internet Information Services (IIS) backdoor developed in the C++ language. RGDoor has been seen deployed on webservers belonging to the Middle East government organizations. RGDoor provides backdoor access to compromised IIS servers.
S0433,Rifdoor,,Rifdoor is a remote access trojan (RAT) that shares numerous code similarities with HotCroissant.
S0403,Riltok,,Riltok is banking malware that uses phishing popups to collect user credentials.
S0003,RIPTIDE,,RIPTIDE is a proxy-aware backdoor used by APT12.
S0448,Rising Sun,,"Rising Sun is a modular backdoor that was used extensively in Operation Sharpshooter between 2017 and 2019. Rising Sun infected at least 87 organizations around the world, including nuclear, defense, energy, and financial service companies. Security researchers assessed Rising Sun included some source code from Lazarus Group's Trojan Duuzer."
S0684,ROADTools,,ROADTools is a framework for enumerating Azure Active Directory environments. The tool is written in Python and publicly available on GitHub.
S0400,RobbinHood,,RobbinHood is ransomware that was first observed being used in an attack against the Baltimore city government's computer network.
S0112,ROCKBOOT,,"ROCKBOOT is a Bootkit that has been used by an unidentified, suspected China-based group."
S0270,RogueRobin,,RogueRobin is a payload used by DarkHydrus that has been developed in PowerShell and C#.
S0240,ROKRAT,,ROKRAT is a cloud-based remote access tool (RAT) used by APT37 to target victims in South Korea. APT37 has used ROKRAT during several campaigns from 2016 through 2021.
S0411,Rotexy,,"Rotexy is an Android banking malware that has evolved over several years. It was originally an SMS spyware Trojan first spotted in October 2014, and since then has evolved to contain more features, including ransomware functionality."
S0103,route,,route can be used to find or change information within the local system IP routing table.
S0090,Rover,,Rover is malware suspected of being used for espionage purposes. It was used in 2015 in a targeted email sent to an Indian Ambassador to Afghanistan.
S1073,Royal,,Royal is ransomware that first appeared in early 2022;  a version that also targets ESXi servers was later observed in February 2023. Royal employs partial encryption and multiple threads to evade detection and speed encryption. Royal has been used in attacks against multiple industries worldwide--including critical infrastructure. Security researchers have identified similarities in the encryption routines and TTPs used in Royal and Conti attacks and noted a possible connection between their operators.
S0148,RTM,Redaman,RTM is custom malware written in Delphi. It is used by the group of the same name (RTM). Newer versions of the malware have been reported publicly as Redaman.
S1071,Rubeus,,"Rubeus is a C# toolset designed for raw Kerberos interaction that has been used since at least 2020, including in ransomware operations."
S0358,Ruler,,"Ruler is a tool to abuse Microsoft Exchange services. It is publicly available on GitHub and the tool is executed via the command line. The creators of Ruler have also released a defensive tool, NotRuler, to detect its usage."
S0313,RuMMS,,RuMMS is an Android malware family.
S0253,RunningRAT,,RunningRAT is a remote access tool that appeared in operations surrounding the 2018 Pyeongchang Winter Olympics along with Gold Dragon and Brave Prince.
S0446,Ryuk,,Ryuk is a ransomware designed to target enterprise environments that has been used in attacks since at least 2018. Ryuk shares code similarities with Hermes ransomware.
S0085,S-Type,,S-Type is a backdoor that was used in Operation Dust Storm since at least 2013.
S1062,S.O.V.A.,,"S.O.V.A. is an Android banking trojan that was first identified in August 2021 and has subsequently been found in a variety of applications, including banking, cryptocurrency wallet/exchange, and shopping apps. S.O.V.A., which is Russian for ""owl"", contains features not commonly found in Android malware, such as session cookie theft."
S1018,Saint Bot,,Saint Bot is a .NET downloader that has been used by Ember Bear since at least March 2021.
S0074,Sakula,"Sakurel, VIPER",Sakula is a remote access tool (RAT) that first surfaced in 2012 and was used in intrusions throughout 2015.
S0370,SamSam,Samas,"SamSam is ransomware that appeared in early 2016. Unlike some ransomware, its variants have required operators to manually interact with the malware to execute some of its core components."
S0111,schtasks,schtasks.exe,schtasks is used to schedule execution of programs or scripts on a Windows system to run at a specific date and time.
S0461,SDBbot,,SDBbot is a backdoor with installer and loader components that has been used by TA505 since at least 2019.
S0195,SDelete,,SDelete is an application that securely deletes data in a way that makes it unrecoverable. It is part of the Microsoft Sysinternals suite of tools.
